,coins_used,coins_received,eventDate
0,20082,18695,2006-01-31
1,84931,56835,2006-02-01
2,124817,59483,2006-02-02
3,170086,80819,2006-02-03
4,182634,236626,2006-02-04
5,214520,117615,2006-02-05
6,163433,74947,2006-02-06
7,205571,103795,2006-02-07
8,221643,97956,2006-02-08
9,207207,121101,2006-02-09
10,243043,113425,2006-02-10
11,230685,113099,2006-02-11
12,252027,124200,2006-02-12
13,170904,66638,2006-02-13
14,227433,98439,2006-02-14
15,240786,103546,2006-02-15
16,225246,110971,2006-02-16
17,259801,124944,2006-02-17
18,189718,93974,2006-02-18
19,224688,124433,2006-02-19
20,229464,123843,2006-02-20
21,286272,129756,2006-02-21
22,261933,115454,2006-02-22
23,249394,111451,2006-02-23
24,272668,134904,2006-02-24
25,251626,129584,2006-02-25
26,224854,120508,2006-02-26
27,183518,68532,2006-02-27
28,249873,153166,2006-02-28
29,286509,127189,2006-03-01
30,272662,127635,2006-03-02
