,edate,device,games,users
0,2006-01-31,ANDROID,21514,5373
1,2006-02-01,ANDROID,39680,7205
2,2006-02-02,ANDROID,41750,7618
3,2006-02-03,ANDROID,42390,7978
4,2006-02-04,ANDROID,40011,7700
5,2006-02-05,ANDROID,39806,7704
6,2006-02-06,ANDROID,40492,7574
7,2006-02-07,ANDROID,37840,7297
8,2006-02-08,ANDROID,35986,6752
9,2006-02-09,ANDROID,32392,6124
10,2006-02-10,ANDROID,33162,6114
11,2006-02-11,ANDROID,32639,6077
12,2006-02-12,ANDROID,32467,6149
13,2006-02-13,ANDROID,34325,6163
14,2006-02-14,ANDROID,34481,6245
15,2006-02-15,ANDROID,34537,6399
16,2006-02-16,ANDROID,34028,6558
17,2006-02-17,ANDROID,36306,6748
18,2006-02-18,ANDROID,36010,6794
19,2006-02-19,ANDROID,37102,6870
20,2006-02-20,ANDROID,39501,7083
21,2006-02-21,ANDROID,38977,7289
22,2006-02-22,ANDROID,39040,7393
23,2006-02-23,ANDROID,37454,7416
24,2006-02-24,ANDROID,39884,7788
25,2006-02-25,ANDROID,41493,7866
26,2006-02-26,ANDROID,43612,8105
27,2006-02-27,ANDROID,44603,8203
28,2006-02-28,ANDROID,44962,8435
29,2006-03-01,ANDROID,45779,8482
30,2006-03-02,ANDROID,44497,8546
31,2006-01-31,FIREOS,473,106
32,2006-02-01,FIREOS,1578,290
33,2006-02-02,FIREOS,2677,536
34,2006-02-03,FIREOS,2884,692
35,2006-02-04,FIREOS,3600,804
36,2006-02-05,FIREOS,3527,906
37,2006-02-06,FIREOS,3611,967
38,2006-02-07,FIREOS,4126,1062
39,2006-02-08,FIREOS,3891,1030
40,2006-02-09,FIREOS,2963,817
41,2006-02-10,FIREOS,2814,733
42,2006-02-11,FIREOS,2313,654
43,2006-02-12,FIREOS,2206,605
44,2006-02-13,FIREOS,2110,600
45,2006-02-14,FIREOS,1848,585
46,2006-02-15,FIREOS,2449,564
47,2006-02-16,FIREOS,2131,548
48,2006-02-17,FIREOS,2176,548
49,2006-02-18,FIREOS,2011,507
50,2006-02-19,FIREOS,2009,501
51,2006-02-20,FIREOS,1842,508
52,2006-02-21,FIREOS,2234,489
53,2006-02-22,FIREOS,1994,506
54,2006-02-23,FIREOS,2035,476
55,2006-02-24,FIREOS,1990,513
56,2006-02-25,FIREOS,2006,476
57,2006-02-26,FIREOS,1948,483
58,2006-02-27,FIREOS,1661,483
59,2006-02-28,FIREOS,1751,466
60,2006-03-01,FIREOS,1898,457
61,2006-03-02,FIREOS,1682,468
62,2006-01-31,IOS,13343,4064
63,2006-02-01,IOS,38064,9238
64,2006-02-02,IOS,49182,12087
65,2006-02-03,IOS,57391,13817
66,2006-02-04,IOS,58217,13494
67,2006-02-05,IOS,59939,13960
68,2006-02-06,IOS,60524,14051
69,2006-02-07,IOS,61000,13679
70,2006-02-08,IOS,52281,11210
71,2006-02-09,IOS,45220,9476
72,2006-02-10,IOS,44340,9113
73,2006-02-11,IOS,42146,8650
74,2006-02-12,IOS,40300,8477
75,2006-02-13,IOS,40964,8361
76,2006-02-14,IOS,42265,8431
77,2006-02-15,IOS,41781,8419
78,2006-02-16,IOS,40490,8506
79,2006-02-17,IOS,41700,8578
80,2006-02-18,IOS,41908,8381
81,2006-02-19,IOS,42719,8456
82,2006-02-20,IOS,43647,8467
83,2006-02-21,IOS,43544,8486
84,2006-02-22,IOS,42246,8498
85,2006-02-23,IOS,41034,8471
86,2006-02-24,IOS,42816,8692
87,2006-02-25,IOS,43874,8602
88,2006-02-26,IOS,44572,8730
89,2006-02-27,IOS,45130,8780
90,2006-02-28,IOS,44858,8784
91,2006-03-01,IOS,44822,8680
92,2006-03-02,IOS,45072,8642
93,2006-01-31,WEBGL,1147,740
94,2006-02-01,WEBGL,1652,1002
95,2006-02-02,WEBGL,1607,961
96,2006-02-03,WEBGL,2217,1351
97,2006-02-04,WEBGL,2393,1494
98,2006-02-05,WEBGL,2450,1497
99,2006-02-06,WEBGL,2372,1426
100,2006-02-07,WEBGL,2538,1573
101,2006-02-08,WEBGL,2570,1556
102,2006-02-09,WEBGL,2241,1374
103,2006-02-10,WEBGL,2179,1264
104,2006-02-11,WEBGL,2284,1429
105,2006-02-12,WEBGL,2522,1556
106,2006-02-13,WEBGL,2136,1352
107,2006-02-14,WEBGL,2105,1349
108,2006-02-15,WEBGL,2091,1322
109,2006-02-16,WEBGL,1974,1262
110,2006-02-17,WEBGL,2078,1326
111,2006-02-18,WEBGL,2333,1477
112,2006-02-19,WEBGL,2198,1387
113,2006-02-20,WEBGL,2097,1318
114,2006-02-21,WEBGL,2282,1467
115,2006-02-22,WEBGL,2087,1355
116,2006-02-23,WEBGL,1877,1204
117,2006-02-24,WEBGL,2057,1327
118,2006-02-25,WEBGL,2014,1361
119,2006-02-26,WEBGL,1199,676
120,2006-02-27,WEBGL,1089,536
121,2006-02-28,WEBGL,1135,550
122,2006-03-01,WEBGL,1113,517
123,2006-03-02,WEBGL,1086,516
