,rows,eventDate,device
0,5411,2006-01-31,ANDROID
1,3748,2006-02-01,ANDROID
2,2383,2006-02-02,ANDROID
3,2153,2006-02-03,ANDROID
4,1473,2006-02-04,ANDROID
5,1292,2006-02-05,ANDROID
6,1150,2006-02-06,ANDROID
7,999,2006-02-07,ANDROID
8,685,2006-02-08,ANDROID
9,456,2006-02-09,ANDROID
10,464,2006-02-10,ANDROID
11,379,2006-02-11,ANDROID
12,344,2006-02-12,ANDROID
13,351,2006-02-13,ANDROID
14,378,2006-02-14,ANDROID
15,545,2006-02-15,ANDROID
16,531,2006-02-16,ANDROID
17,432,2006-02-17,ANDROID
18,354,2006-02-18,ANDROID
19,322,2006-02-19,ANDROID
20,355,2006-02-20,ANDROID
21,430,2006-02-21,ANDROID
22,434,2006-02-22,ANDROID
23,455,2006-02-23,ANDROID
24,496,2006-02-24,ANDROID
25,390,2006-02-25,ANDROID
26,422,2006-02-26,ANDROID
27,486,2006-02-27,ANDROID
28,408,2006-02-28,ANDROID
29,390,2006-03-01,ANDROID
30,474,2006-03-02,ANDROID
31,107,2006-01-31,FIREOS
32,219,2006-02-01,FIREOS
33,365,2006-02-02,FIREOS
34,367,2006-02-03,FIREOS
35,352,2006-02-04,FIREOS
36,365,2006-02-05,FIREOS
37,338,2006-02-06,FIREOS
38,340,2006-02-07,FIREOS
39,226,2006-02-08,FIREOS
40,61,2006-02-09,FIREOS
41,37,2006-02-10,FIREOS
42,36,2006-02-11,FIREOS
43,23,2006-02-12,FIREOS
44,28,2006-02-13,FIREOS
45,36,2006-02-14,FIREOS
46,33,2006-02-15,FIREOS
47,48,2006-02-16,FIREOS
48,38,2006-02-17,FIREOS
49,37,2006-02-18,FIREOS
50,31,2006-02-19,FIREOS
51,41,2006-02-20,FIREOS
52,24,2006-02-21,FIREOS
53,32,2006-02-22,FIREOS
54,40,2006-02-23,FIREOS
55,42,2006-02-24,FIREOS
56,24,2006-02-25,FIREOS
57,24,2006-02-26,FIREOS
58,27,2006-02-27,FIREOS
59,28,2006-02-28,FIREOS
60,27,2006-03-01,FIREOS
61,30,2006-03-02,FIREOS
62,4078,2006-01-31,IOS
63,6790,2006-02-01,IOS
64,6803,2006-02-02,IOS
65,6401,2006-02-03,IOS
66,5055,2006-02-04,IOS
67,4680,2006-02-05,IOS
68,4257,2006-02-06,IOS
69,3709,2006-02-07,IOS
70,1212,2006-02-08,IOS
71,693,2006-02-09,IOS
72,616,2006-02-10,IOS
73,460,2006-02-11,IOS
74,392,2006-02-12,IOS
75,409,2006-02-13,IOS
76,404,2006-02-14,IOS
77,427,2006-02-15,IOS
78,481,2006-02-16,IOS
79,417,2006-02-17,IOS
80,361,2006-02-18,IOS
81,380,2006-02-19,IOS
82,318,2006-02-20,IOS
83,326,2006-02-21,IOS
84,290,2006-02-22,IOS
85,311,2006-02-23,IOS
86,296,2006-02-24,IOS
87,282,2006-02-25,IOS
88,275,2006-02-26,IOS
89,265,2006-02-27,IOS
90,227,2006-02-28,IOS
91,221,2006-03-01,IOS
92,220,2006-03-02,IOS
93,743,2006-01-31,WEBGL
94,778,2006-02-01,WEBGL
95,667,2006-02-02,WEBGL
96,980,2006-02-03,WEBGL
97,976,2006-02-04,WEBGL
98,830,2006-02-05,WEBGL
99,793,2006-02-06,WEBGL
100,879,2006-02-07,WEBGL
101,804,2006-02-08,WEBGL
102,689,2006-02-09,WEBGL
103,568,2006-02-10,WEBGL
104,714,2006-02-11,WEBGL
105,819,2006-02-12,WEBGL
106,638,2006-02-13,WEBGL
107,611,2006-02-14,WEBGL
108,604,2006-02-15,WEBGL
109,657,2006-02-16,WEBGL
110,655,2006-02-17,WEBGL
111,754,2006-02-18,WEBGL
112,678,2006-02-19,WEBGL
113,599,2006-02-20,WEBGL
114,747,2006-02-21,WEBGL
115,662,2006-02-22,WEBGL
116,627,2006-02-23,WEBGL
117,706,2006-02-24,WEBGL
118,744,2006-02-25,WEBGL
119,187,2006-02-26,WEBGL
120,61,2006-02-27,WEBGL
121,62,2006-02-28,WEBGL
122,35,2006-03-01,WEBGL
123,53,2006-03-02,WEBGL
