,rows,usercountry
0,30565,US
1,11183,DE
2,8508,GB
3,7244,CN
4,4077,RU
5,3533,FR
6,3289,CA
7,2806,IT
8,2004,BR
9,1930,AU
10,1744,MX
11,1550,NL
12,1337,PL
13,1312,TR
14,1084,ES
15,1018,SE
16,959,HU
17,952,AT
18,886,SA
19,864,AR
20,862,CH
21,858,BE
22,685,UA
23,653,NZ
24,635,TW
25,634,CZ
26,633,FI
27,588,DK
28,587,PT
29,582,CL
30,494,RO
31,393,IN
32,358,NO
33,348,CO
34,339,GR
35,309,HK
36,271,ZA
37,264,AE
38,255,SG
39,237,VN
40,233,PE
41,229,TH
42,218,MY
43,206,IL
44,186,PH
45,186,IE
46,185,CR
47,182,BG
48,164,SK
49,162,JP
50,158,BY
51,157,IR
52,147,IQ
53,141,LV
54,137,KW
55,137,KZ
56,135,LT
57,134,RS
58,131,UY
59,123,EC
60,112,EE
61,110,EG
62,103,ID
63,97,HR
64,97,SI
65,94,GT
66,93,LU
67,85,BO
68,83,KR
69,79,SV
70,59,VE
71,58,QA
72,48,JO
73,46,PR
74,40,MA
75,39,PK
76,36,BA
77,36,LB
78,35,CY
79,35,MO
80,34,OM
81,31,PY
82,30,BD
83,30,MD
84,30,AL
85,28,AM
86,28,GE
87,28,BH
88,28,TN
89,28,HN
90,27,MT
91,26,MK
92,25,AZ
93,23,DZ
94,22,MM
95,20,MN
96,18,ME
97,17,DO
98,17,PA
99,16,RE
100,16,TT
101,16,IS
102,16,BN
103,13,LK
104,12,JE
105,12,GG
106,11,KH
107,11,LY
108,10,NI
109,10,PS
110,9,IM
111,9,MU
112,8,KG
113,7,SY
114,7,TM
115,6,MQ
116,6,UZ
117,5,NC
118,5,BM
119,5,SC
120,5,SN
121,5,GP
122,5,KE
123,5,PF
124,5,CW
125,4,LI
126,4,BB
127,4,NG
128,4,AD
129,4,AW
130,4,GU
131,4,ZW
132,4,BZ
133,3,NP
134,3,YE
135,3,JM
136,3,AO
137,3,BS
138,3,TZ
139,3,VI
140,3,MV
141,2,GD
142,2,ET
143,2,UG
144,2,GH
145,2,MG
146,2,SX
147,2,GF
148,2,ST
149,2,GI
150,1,AF
151,1,VU
152,1,SM
153,1,GA
154,1,FJ
155,1,GM
156,1,SD
157,1,CV
158,1,FO
159,1,MH
160,1,DM
161,1,MP
162,1,MZ
163,1,TJ
164,1,BQ
165,1,KY
166,1,MF
167,1,NA
168,1,CI
169,1,BL
170,1,HT
171,1,LA
172,1,PM
173,1,DJ
174,1,GN
175,1,AX
176,1,KN
