,users,last_level
0,1,1
1,5,2
2,3,4
3,11,5
4,5,6
5,14,7
6,8,8
7,8,9
8,8,10
9,38,11
10,17,12
11,53,13
12,2,14
13,18,15
14,8,16
15,206,17
16,4,18
17,7,19
18,17,20
19,2,21
20,1,22
21,55,23
22,6,24
23,4,25
24,8,26
25,68,27
26,44,28
27,61,29
28,665,30
29,4,31
30,8,32
31,32,33
32,24,34
33,26,35
34,28,36
35,15,37
36,58,38
37,67,39
38,7,40
39,20,41
40,47,42
41,5,43
42,3,44
43,4,45
44,8,46
45,14,47
46,30,48
47,72,49
48,129,50
49,9,51
50,90,52
51,222,53
52,9,54
53,12,55
54,415,56
55,9,57
56,11,58
57,24,59
58,194,60
59,2,63
60,5,64
61,10,65
62,8,66
63,20,67
64,3,68
65,4,69
66,4,70
67,1,71
68,1,72
69,4,73
70,1,74
71,16,75
72,67,76
73,7,77
74,6,78
75,4,79
76,11,80
77,3,81
78,3,82
79,28,83
80,2,84
81,5,85
82,4,86
83,1,87
84,25,88
85,2,89
86,52,90
87,1,92
88,1,93
89,3,94
90,45,95
91,8,96
92,5,98
93,3,99
94,5,100
95,2,101
96,1,102
97,1,103
98,2,104
99,3,105
100,9,106
101,1,107
102,2,108
103,2,109
104,1,110
105,3,112
106,5,113
107,8,114
108,3,116
109,2,117
110,4,118
111,6,119
112,29,120
113,2,123
114,6,124
115,3,125
116,3,127
117,11,129
118,1,130
119,2,131
120,2,133
121,3,134
122,18,135
123,2,136
124,3,138
125,2,139
126,1,141
127,1,142
128,3,143
129,1,144
130,2,145
131,2,148
132,9,150
133,1,152
134,1,155
135,1,156
136,2,159
137,1,160
138,1,162
139,1,165
140,1,166
141,1,167
142,1,170
143,4,174
144,2,179
145,6,180
146,1,184
147,2,190
148,1,196
149,1,202
150,1,205
151,2,207
152,3,210
153,1,212
154,1,215
155,1,219
156,1,229
157,6,240
158,2,282
159,1,310
160,1,384
161,1,409
