,count,eventDate
0,50,2006-01-31
1,122,2006-02-01
2,181,2006-02-02
3,237,2006-02-03
4,220,2006-02-04
5,277,2006-02-05
6,235,2006-02-06
7,285,2006-02-07
8,343,2006-02-08
9,349,2006-02-09
10,390,2006-02-10
11,355,2006-02-11
12,286,2006-02-12
13,271,2006-02-13
14,312,2006-02-14
15,354,2006-02-15
16,376,2006-02-16
17,396,2006-02-17
18,324,2006-02-18
19,342,2006-02-19
20,357,2006-02-20
21,321,2006-02-21
22,343,2006-02-22
23,389,2006-02-23
24,389,2006-02-24
25,373,2006-02-25
26,323,2006-02-26
27,340,2006-02-27
28,384,2006-02-28
29,400,2006-03-01
30,442,2006-03-02
