,item,eventDate,sum
0,product_A,2006-01-31,62
1,product_A,2006-02-01,215
2,product_A,2006-02-02,294
3,product_A,2006-02-03,374
4,product_A,2006-02-04,344
5,product_A,2006-02-05,446
6,product_A,2006-02-06,379
7,product_A,2006-02-07,429
8,product_A,2006-02-08,390
9,product_A,2006-02-09,470
10,product_A,2006-02-10,482
11,product_A,2006-02-11,441
12,product_A,2006-02-12,416
13,product_A,2006-02-13,429
14,product_A,2006-02-14,417
15,product_A,2006-02-15,433
16,product_A,2006-02-16,527
17,product_A,2006-02-17,500
18,product_A,2006-02-18,388
19,product_A,2006-02-19,471
20,product_A,2006-02-20,497
21,product_A,2006-02-21,531
22,product_A,2006-02-22,494
23,product_A,2006-02-23,553
24,product_A,2006-02-24,618
25,product_A,2006-02-25,514
26,product_A,2006-02-26,415
27,product_A,2006-02-27,469
28,product_A,2006-02-28,570
29,product_A,2006-03-01,569
30,product_A,2006-03-02,651
31,product_B,2006-01-31,5
32,product_B,2006-02-01,3
33,product_B,2006-02-02,14
34,product_B,2006-02-03,22
35,product_B,2006-02-04,15
36,product_B,2006-02-05,16
37,product_B,2006-02-06,13
38,product_B,2006-02-07,24
39,product_B,2006-02-08,21
40,product_B,2006-02-09,23
41,product_B,2006-02-10,20
42,product_B,2006-02-11,17
43,product_B,2006-02-12,31
44,product_B,2006-02-13,13
45,product_B,2006-02-14,15
46,product_B,2006-02-15,20
47,product_B,2006-02-16,25
48,product_B,2006-02-17,27
49,product_B,2006-02-18,11
50,product_B,2006-02-19,25
51,product_B,2006-02-20,28
52,product_B,2006-02-21,22
53,product_B,2006-02-22,26
54,product_B,2006-02-23,28
55,product_B,2006-02-24,25
56,product_B,2006-02-25,21
57,product_B,2006-02-26,20
58,product_B,2006-02-27,17
59,product_B,2006-02-28,32
60,product_B,2006-03-01,33
61,product_B,2006-03-02,32
62,product_C,2006-02-07,8
63,product_C,2006-02-08,92
64,product_C,2006-02-09,65
65,product_C,2006-02-10,102
66,product_C,2006-02-11,69
67,product_C,2006-02-12,13
68,product_C,2006-02-13,4
69,product_C,2006-02-14,24
70,product_C,2006-02-15,67
71,product_C,2006-02-16,46
72,product_C,2006-02-17,68
73,product_C,2006-02-18,37
74,product_C,2006-02-19,31
75,product_C,2006-02-20,38
76,product_C,2006-02-21,25
77,product_C,2006-02-22,26
78,product_C,2006-02-23,16
79,product_C,2006-02-24,39
80,product_C,2006-02-25,24
81,product_C,2006-02-26,27
82,product_C,2006-02-27,21
83,product_C,2006-02-28,24
84,product_C,2006-03-01,25
85,product_C,2006-03-02,15
86,product_D,2006-02-01,1
87,product_D,2006-02-02,6
88,product_D,2006-02-03,3
89,product_D,2006-02-04,6
90,product_D,2006-02-05,3
91,product_D,2006-02-06,2
92,product_D,2006-02-07,5
93,product_D,2006-02-08,3
94,product_D,2006-02-09,3
95,product_D,2006-02-10,6
96,product_D,2006-02-11,2
97,product_D,2006-02-12,3
98,product_D,2006-02-14,1
99,product_D,2006-02-15,10
100,product_D,2006-02-16,5
101,product_D,2006-02-17,2
102,product_D,2006-02-18,3
103,product_D,2006-02-19,3
104,product_D,2006-02-20,4
105,product_D,2006-02-22,4
106,product_D,2006-02-23,6
107,product_D,2006-02-24,3
108,product_D,2006-02-25,4
109,product_D,2006-02-26,3
110,product_D,2006-02-27,1
111,product_D,2006-03-01,6
112,product_D,2006-03-02,1
